series;x;y;z
SeriesB;1;128;1.546493902
SeriesA;1;129;1.546493902
SeriesB;1;129;1.546493902
SeriesA;1;130;1.546493902
SeriesB;1;130;1.546493902
SeriesA;1;131;1.546493902
SeriesB;1;131;1.546493902
SeriesA;1;132;1.546493902
SeriesB;1;132;1.546493902
SeriesA;1;133;1.546493902
SeriesB;1;133;1.546493902
SeriesA;1;134;1.546493902
SeriesB;1;134;1.546493902
SeriesA;1;135;1.546493902
SeriesB;1;135;1.546493902
SeriesA;1;136;1.546493902
SeriesB;1;136;1.546493902
SeriesA;1;137;1.546493902
SeriesB;1;137;1.546493902
SeriesA;1;138;1.546493902
SeriesB;1;138;1.546493902
SeriesA;1;139;1.546493902
SeriesB;1;139;1.546493902
SeriesA;1;140;1.546493902
SeriesB;1;140;1.546493902
SeriesA;1;141;1.546493902
SeriesB;1;141;1.546493902
SeriesA;1;142;1.546493902
SeriesB;1;142;1.546493902
SeriesA;1;143;1.546493902
SeriesB;1;143;1.546493902
SeriesA;1;144;1.546493902
SeriesB;1;144;1.546493902
SeriesA;1;145;1.546493902
SeriesB;1;145;1.546493902
SeriesA;1;146;1.546493902
SeriesB;1;146;1.546493902
SeriesA;1;147;1.546493902
SeriesB;1;147;1.546493902
SeriesA;1;148;1.546493902
SeriesB;1;148;1.546493902
SeriesA;1;149;1.546493902
SeriesB;1;149;1.546493902
SeriesA;1;150;1.546493902
SeriesB;1;150;1.546493902
SeriesA;1;151;1.546493902
SeriesB;1;151;1.546493902
SeriesA;1;152;1.546493902
SeriesB;1;152;1.546493902
SeriesA;1;153;1.546493902
SeriesB;1;153;1.546493902
SeriesA;1;154;1.546493902
SeriesB;1;154;1.546493902
SeriesA;1;155;1.546493902
SeriesB;1;155;1.546493902
SeriesA;1;156;1.546493902
SeriesB;1;156;1.546493902
SeriesA;1;157;1.546493902
SeriesB;1;157;1.546493902
SeriesA;1;158;1.546493902
SeriesB;1;158;1.546493902
SeriesA;1;159;1.546493902
SeriesB;1;159;1.546493902
SeriesA;1;160;1.546493902
SeriesB;1;160;1.546493902
SeriesA;1;161;1.546493902
SeriesB;1;161;1.546493902
SeriesA;1;162;1.546493902
SeriesB;1;162;1.546493902
SeriesA;1;163;1.546493902
SeriesB;1;163;1.546493902
SeriesA;1;164;1.546493902
SeriesB;1;164;1.546493902
SeriesA;1;165;1.546493902
SeriesB;1;165;1.546493902
SeriesA;1;166;1.546493902
SeriesB;1;166;1.546493902
SeriesA;1;167;1.546493902
SeriesB;1;167;1.546493902
SeriesA;1;168;1.546493902
SeriesB;1;168;1.546493902
SeriesA;1;169;1.546493902
SeriesB;1;169;1.546493902
SeriesA;1;170;1.546493902
SeriesB;1;170;1.546493902
SeriesA;1;171;1.546493902
SeriesB;1;171;1.546493902
SeriesA;1;172;1.546493902
SeriesB;1;172;1.546493902
SeriesA;1;173;1.546493902
SeriesB;1;173;1.546493902
SeriesA;1;174;1.546493902
SeriesB;1;174;1.546493902
SeriesA;1;175;1.546493902
SeriesB;1;175;1.546493902
SeriesA;1;176;1.546493902
SeriesB;1;176;1.546493902
SeriesA;1;177;1.546493902
SeriesB;1;177;1.546493902
SeriesA;1;178;1.546493902
SeriesB;1;178;1.546493902
SeriesA;1;179;1.546493902
SeriesB;1;179;1.546493902
SeriesA;1;180;1.546493902
SeriesB;1;180;1.546493902
SeriesA;1;181;1.546493902
SeriesB;1;181;1.546493902
SeriesA;1;182;1.546493902
SeriesB;1;182;1.546493902
SeriesA;1;183;1.546493902
SeriesB;1;183;1.546493902
SeriesA;1;184;1.546493902
SeriesB;1;184;1.546493902
SeriesA;1;185;1.546493902
SeriesB;1;185;1.546493902
SeriesA;1;186;1.546493902
SeriesB;1;186;1.546493902
SeriesA;1;187;1.546493902
SeriesB;1;187;1.546493902
SeriesA;1;188;1.546493902
SeriesB;1;188;1.546493902
SeriesA;1;189;1.546493902
SeriesB;1;189;1.546493902
SeriesA;1;190;1.546493902
SeriesB;1;190;1.546493902
SeriesA;1;191;1.546493902
SeriesB;1;191;1.546493902
SeriesA;1;192;1.546493902
SeriesB;1;192;1.546493902
SeriesA;1;193;1.546493902
SeriesB;1;193;1.546493902
SeriesA;1;194;1.546493902
SeriesB;1;194;1.546493902
SeriesA;1;195;1.546493902
SeriesB;1;195;1.546493902
SeriesA;1;196;1.546493902
SeriesB;1;196;1.546493902
SeriesA;1;197;1.546493902
SeriesB;1;197;1.546493902
SeriesA;1;198;1.546493902
SeriesB;1;198;1.546493902
SeriesA;1;199;1.546493902
SeriesB;1;199;1.546493902
SeriesA;1;200;1.546493902
SeriesB;1;200;1.546493902
SeriesA;1;201;1.546493902
SeriesB;1;201;1.546493902
SeriesA;1;202;1.546493902
SeriesB;1;202;1.546493902
SeriesA;1;203;1.546493902
SeriesB;1;203;1.546493902
SeriesA;1;204;1.546493902
SeriesB;1;204;1.546493902
SeriesA;1;205;1.546493902
SeriesB;1;205;1.546493902
SeriesA;1;206;1.546493902
SeriesB;1;206;1.546493902
SeriesA;1;207;1.546493902
SeriesB;1;207;1.546493902
SeriesA;1;208;1.546493902
SeriesB;1;208;1.546493902
SeriesA;1;209;1.546493902
SeriesB;1;209;1.546493902
SeriesA;1;210;1.546493902
SeriesB;1;210;1.546493902
SeriesA;1;211;1.546493902
SeriesB;1;211;1.546493902
SeriesA;1;212;1.546493902
SeriesB;1;212;1.546493902
SeriesA;1;213;1.546493902
SeriesB;1;213;1.546493902
SeriesA;1;214;1.546493902
SeriesB;1;214;1.546493902
SeriesA;1;215;1.546493902
SeriesB;1;215;1.546493902
SeriesA;1;216;1.546493902
SeriesB;1;216;1.546493902
SeriesA;1;217;1.546493902
SeriesB;1;217;1.546493902
SeriesA;1;218;1.546493902
SeriesB;1;218;1.546493902
SeriesA;1;219;1.546493902
SeriesB;1;219;1.546493902
SeriesA;1;220;1.546493902
SeriesB;1;220;1.546493902
SeriesA;1;221;1.546493902
SeriesB;1;221;1.546493902
SeriesA;10;1;0.659955115
SeriesB;10;1;0.746428713
SeriesA;10;2;0.680501969
SeriesB;10;2;0.810043668
SeriesA;10;3;0.821226145
SeriesB;10;3;0.850375759
SeriesA;10;4;0.894933617
SeriesB;10;4;0.821781804
SeriesA;10;5;1.464577395
SeriesB;10;5;1.584641385
SeriesA;10;6;1.664831516
SeriesB;10;6;1.813562523
SeriesA;10;7;1.693590315
SeriesB;10;7;1.693590315
SeriesA;10;8;1.700588474
SeriesB;10;8;1.700588474
SeriesA;10;9;1.64740566
SeriesB;10;9;1.684050325
SeriesA;10;10;1.678164308
SeriesB;10;10;1.659591195
SeriesA;10;11;1.92
SeriesB;10;11;1.659591195
SeriesA;10;12;1.947341721
SeriesB;10;12;1.71
SeriesA;10;13;1.97002337
SeriesB;10;13;1.659591195
SeriesA;10;14;1.718580898
SeriesB;10;14;1.650058962
SeriesA;10;15;1.969499041
SeriesB;10;15;1.59
SeriesA;10;16;1.867491883
SeriesB;10;16;1.59
SeriesA;10;17;1.857142857
SeriesB;10;17;1.59
SeriesA;10;18;1.908676894
SeriesB;10;18;1.635957792
SeriesA;10;19;1.907628236
SeriesB;10;19;1.635957792
SeriesA;10;20;1.855113636
SeriesB;10;20;1.636870942
SeriesA;10;21;2.080282094
SeriesB;10;21;1.636870942
SeriesA;10;22;2.114889556
SeriesB;10;22;1.636870942
SeriesA;10;23;2.06639232
SeriesB;10;23;1.636870942
SeriesA;10;24;2.123297276
SeriesB;10;24;1.636870942
SeriesA;10;25;2.426697874
SeriesB;10;25;1.636870942
SeriesA;10;26;1.657986111
SeriesB;10;26;1.636870942
SeriesA;10;27;2.15486664
SeriesB;10;27;1.636870942
SeriesA;10;28;1.592464399
SeriesB;10;28;1.636870942
SeriesA;10;29;1.594244462
SeriesB;10;29;1.636870942
SeriesA;10;30;2.350841346
SeriesB;10;30;1.636870942
SeriesA;10;31;1.762111928
SeriesB;10;31;1.636870942
SeriesA;10;32;2.166646635
SeriesB;10;32;1.637885552
SeriesA;10;33;1.57
SeriesB;10;33;1.637885552
SeriesA;10;34;2.41419702
SeriesB;10;34;1.637885552
SeriesA;10;35;1.562014752
SeriesB;10;35;1.637885552
SeriesA;10;36;1.724344136
SeriesB;10;36;1.637885552
SeriesA;10;37;1.773779608
SeriesB;10;37;1.636870942
SeriesA;10;38;1.969336377
SeriesB;10;38;1.636870942
SeriesA;10;39;2.445376917
SeriesB;10;39;1.636870942
SeriesA;10;40;1.662199128
SeriesB;10;40;1.636870942
SeriesA;10;41;2.127832031
SeriesB;10;41;1.636870942
SeriesA;10;42;2.458578431
SeriesB;10;42;1.636870942
SeriesA;10;43;1.588508703
SeriesB;10;43;1.636870942
SeriesA;10;44;1.588508703
SeriesB;10;44;1.636870942
SeriesA;10;45;2.530331354
SeriesB;10;45;1.636870942
SeriesA;10;46;2.306595553
SeriesB;10;46;1.638798701
SeriesA;10;47;1.952968128
SeriesB;10;47;1.638798701
SeriesA;10;48;2.475020562
SeriesB;10;48;1.638798701
SeriesA;10;49;2.340083683
SeriesB;10;49;1.64
SeriesA;10;50;2.431719095
SeriesB;10;50;1.64
SeriesA;10;51;1.802896099
SeriesB;10;51;1.64
SeriesA;10;52;1.58583734
SeriesB;10;52;1.64
SeriesA;10;53;1.862144777
SeriesB;10;53;1.64
SeriesA;10;54;1.585984098
SeriesB;10;54;1.64
SeriesA;10;55;1.622312592
SeriesB;10;55;1.64
SeriesA;10;56;1.549093364
SeriesB;10;56;1.64
SeriesA;10;57;1.733396291
SeriesB;10;57;1.64
SeriesA;10;58;1.878332085
SeriesB;10;58;1.64
SeriesA;10;59;1.844482006
SeriesB;10;59;1.636668019
SeriesA;10;60;1.578497024
SeriesB;10;60;1.636668019
SeriesA;10;61;1.629588041
SeriesB;10;61;1.636668019
SeriesA;10;62;1.889641993
SeriesB;10;62;1.636668019
SeriesA;10;63;1.731053379
SeriesB;10;63;1.636668019
SeriesA;10;64;1.568297956
SeriesB;10;64;1.636668019
SeriesA;10;65;1.568297956
SeriesB;10;65;1.635044643
SeriesA;10;66;1.593092336
SeriesB;10;66;1.635044643
SeriesA;10;67;1.587239934
SeriesB;10;67;1.635957792
SeriesA;10;68;1.646739969
SeriesB;10;68;1.59
SeriesA;10;69;1.563907613
SeriesB;10;69;1.59
SeriesA;10;70;1.632345715
SeriesB;10;70;1.59
SeriesA;10;71;1.802152967
SeriesB;10;71;1.59
SeriesA;10;72;1.56
SeriesB;10;72;1.59
SeriesA;10;73;1.757848481
SeriesB;10;73;1.59
SeriesA;10;74;1.56
SeriesB;10;74;1.59
SeriesA;10;75;1.760926739
SeriesB;10;75;1.59
SeriesA;10;76;1.776291049
SeriesB;10;76;1.59
SeriesA;10;77;1.854565933
SeriesB;10;77;1.59
SeriesA;10;78;2.53804566
SeriesB;10;78;1.636668019
SeriesA;10;79;1.714220166
SeriesB;10;79;1.636668019
SeriesA;10;80;2.210954944
SeriesB;10;80;1.636668019
SeriesA;10;81;2.294203849
SeriesB;10;81;1.636668019
SeriesA;10;82;1.781545176
SeriesB;10;82;1.636668019
SeriesA;10;83;1.869646092
SeriesB;10;83;1.636668019
SeriesA;10;84;1.976004181
SeriesB;10;84;1.636668019
SeriesA;10;85;1.69700216
SeriesB;10;85;1.636668019
SeriesA;10;86;1.714042589
SeriesB;10;86;1.637581169
SeriesA;10;87;1.787310532
SeriesB;10;87;1.637581169
SeriesA;10;88;1.725530979
SeriesB;10;88;1.637581169
SeriesA;10;89;1.743459838
SeriesB;10;89;1.637581169
SeriesA;10;90;1.736186486
SeriesB;10;90;1.637581169
SeriesA;10;91;1.749469532
SeriesB;10;91;1.637581169
SeriesA;10;92;1.864502459
SeriesB;10;92;1.637581169
SeriesA;10;93;1.56466195
SeriesB;10;93;1.637581169
SeriesA;10;94;1.870377604
SeriesB;10;94;1.655119243
SeriesA;10;95;1.876152088
SeriesB;10;95;1.655119243
SeriesA;10;96;1.70844351
SeriesB;10;96;1.655119243
SeriesA;10;97;1.816794843
SeriesB;10;97;1.655119243
SeriesA;10;98;1.863240813
SeriesB;10;98;1.655119243
SeriesA;10;99;1.530520833
SeriesB;10;99;1.655119243
SeriesA;10;100;1.523565884
SeriesB;10;100;1.655119243
SeriesA;10;101;1.55
SeriesB;10;101;1.655119243
SeriesA;10;102;1.497315238
SeriesB;10;102;1.655119243
SeriesA;10;103;1.866959635
SeriesB;10;103;1.655119243
SeriesA;10;104;1.364455192
SeriesB;10;104;1.655119243
SeriesA;10;105;1.537170031
SeriesB;10;105;1.655119243
SeriesA;10;106;1.391111125
SeriesB;10;106;1.655119243
SeriesA;10;107;1.560246799
SeriesB;10;107;1.655119243
SeriesA;10;108;1.688438871
SeriesB;10;108;1.655119243
SeriesA;10;109;1.573924731
SeriesB;10;109;1.655119243
SeriesA;10;110;1.516422502
SeriesB;10;110;1.655119243
SeriesA;10;111;1.541440217
SeriesB;10;111;1.655119243
SeriesA;10;112;1.532026398
SeriesB;10;112;1.644403595
SeriesA;10;113;1.532026398
SeriesB;10;113;1.644403595
SeriesA;10;114;1.445263485
SeriesB;10;114;1.644403595
SeriesA;10;115;1.856585523
SeriesB;10;115;1.644403595
SeriesA;10;116;1.73213407
SeriesB;10;116;1.635146104
SeriesA;10;117;1.32
SeriesB;10;117;1.635146104
SeriesA;10;118;1.445304695
SeriesB;10;118;1.635146104
SeriesA;10;119;1.51242236
SeriesB;10;119;1.635146104
SeriesA;10;120;1.252059672
SeriesB;10;120;1.635146104
SeriesA;10;121;1.58466426
SeriesB;10;121;1.635146104
SeriesA;10;122;1.594502271
SeriesB;10;122;1.635146104
SeriesA;10;123;1.500550892
SeriesB;10;123;1.635146104
SeriesA;10;124;1.595424107
SeriesB;10;124;1.635146104
SeriesA;10;125;1.68284279
SeriesB;10;125;1.635146104
SeriesA;10;126;1.585278217
SeriesB;10;126;1.635146104
SeriesA;10;127;1.584105998
SeriesB;10;127;1.635551948
SeriesA;10;128;1.560929356
SeriesB;10;128;1.635551948
SeriesA;10;129;1.500070713
SeriesB;10;129;1.635551948
SeriesA;10;130;1.331047419
SeriesB;10;130;1.635551948
SeriesA;10;131;1.464180838
SeriesB;10;131;1.636160714
SeriesA;10;132;1.364963504
SeriesB;10;132;1.636160714
SeriesA;10;133;1.53587963
SeriesB;10;133;1.636160714
SeriesA;10;134;1.531926407
SeriesB;10;134;1.636160714
SeriesA;10;135;1.542747642
SeriesB;10;135;1.636160714
SeriesA;10;136;1.542747642
SeriesB;10;136;1.636160714
SeriesA;10;137;1.548396393
SeriesB;10;137;1.636160714
SeriesA;10;138;1.528935185
SeriesB;10;138;1.636160714
SeriesA;10;139;1.29890418
SeriesB;10;139;1.636160714
SeriesA;10;140;1.743592767
SeriesB;10;140;1.636160714
SeriesA;10;141;1.533385093
SeriesB;10;141;1.636160714
SeriesA;10;142;1.63
SeriesB;10;142;1.634943182
SeriesA;10;143;1.312231127
SeriesB;10;143;1.634943182
SeriesA;10;144;1.420028714
SeriesB;10;144;1.636059253
SeriesA;10;145;1.534146305
SeriesB;10;145;1.634943182
SeriesA;10;146;1.682497914
SeriesB;10;146;1.634943182
SeriesA;10;147;1.68831963
SeriesB;10;147;1.634943182
SeriesA;10;148;1.501891706
SeriesB;10;148;1.634030032
SeriesA;10;149;1.500231405
SeriesB;10;149;1.636769481
SeriesA;10;150;1.436144406
SeriesB;10;150;1.636262175
SeriesA;10;151;1.434238926
SeriesB;10;151;1.636262175
SeriesA;10;152;1.506159061
SeriesB;10;152;1.636262175
SeriesA;10;153;1.544735489
SeriesB;10;153;1.636262175
SeriesA;10;154;1.285857237
SeriesB;10;154;1.636769481
SeriesA;10;155;1.310065318
SeriesB;10;155;1.636769481
SeriesA;10;156;1.533579193
SeriesB;10;156;1.636769481
SeriesA;10;157;1.533579193
SeriesB;10;157;1.636769481
SeriesA;10;158;1.548152516
SeriesB;10;158;1.635551948
SeriesA;10;159;1.54
SeriesB;10;159;1.635551948
SeriesA;10;160;1.423985358
SeriesB;10;160;1.635551948
SeriesA;10;161;1.536975932
SeriesB;10;161;1.635146104
SeriesA;10;162;1.16805919
SeriesB;10;162;1.635146104
SeriesA;10;163;1.54
SeriesB;10;163;1.635146104
SeriesA;10;164;1.133021099
SeriesB;10;164;1.635146104
SeriesA;10;165;1.54
SeriesB;10;165;1.635146104
SeriesA;10;166;1.54
SeriesB;10;166;1.635551948
SeriesA;10;167;1.141293789
SeriesB;10;167;1.635551948
SeriesA;10;168;1.306313731
SeriesB;10;168;1.635551948
SeriesA;10;169;1.53
SeriesB;10;169;1.635146104
SeriesA;10;170;1.172484925
SeriesB;10;170;1.635146104
SeriesA;10;171;1.19786369
SeriesB;10;171;1.635146104
SeriesA;10;172;1.43
SeriesB;10;172;1.635146104
SeriesA;10;173;1.501157407
SeriesB;10;173;1.635146104
SeriesA;10;174;1.511063665
SeriesB;10;174;1.635146104
SeriesA;10;175;1.485636646
SeriesB;10;175;1.635146104
SeriesA;10;176;1.484857253
SeriesB;10;176;1.632305195
SeriesA;10;177;1.177645339
SeriesB;10;177;1.635146104
SeriesA;10;178;1.341251256
SeriesB;10;178;1.63382711
SeriesA;10;179;1.31433048
SeriesB;10;179;1.636262175
SeriesA;10;180;1.48
SeriesB;10;180;1.636262175
SeriesA;10;181;1.468066077
SeriesB;10;181;1.636262175
SeriesA;10;182;1.450581178
SeriesB;10;182;1.636262175
SeriesA;10;183;1.489712733
SeriesB;10;183;1.63382711
SeriesA;10;184;1.502814441
SeriesB;10;184;1.633218344
SeriesA;10;185;1.490074686
SeriesB;10;185;1.632305195
SeriesA;10;186;1.48
SeriesB;10;186;1.632508117
SeriesA;10;187;1.306406607
SeriesB;10;187;1.636262175
SeriesA;10;188;1.249350575
SeriesB;10;188;1.636870942
SeriesA;10;189;1.311025042
SeriesB;10;189;1.636870942
SeriesA;10;190;1.43132716
SeriesB;10;190;1.636870942
SeriesA;10;191;1.44353911
SeriesB;10;191;1.63474026
SeriesA;10;192;1.472125772
SeriesB;10;192;1.636870942
SeriesA;10;193;1.451871142
SeriesB;10;193;1.636870942
SeriesA;10;194;1.490941061
SeriesB;10;194;1.636870942
SeriesA;10;195;1.442862773
SeriesB;10;195;1.636870942
SeriesA;10;196;1.338768326
SeriesB;10;196;1.636870942
SeriesA;10;197;1.491847826
SeriesB;10;197;1.636870942
SeriesA;10;198;1.469618056
SeriesB;10;198;1.636870942
SeriesA;10;199;1.452833851
SeriesB;10;199;1.636870942
SeriesA;10;200;1.469907407
SeriesB;10;200;1.636870942
SeriesA;10;201;1.419778727
SeriesB;10;201;1.636870942
SeriesA;10;202;1.460500776
SeriesB;10;202;1.636870942
SeriesA;10;203;1.471599843
SeriesB;10;203;1.636870942
SeriesA;10;204;1.476859177
SeriesB;10;204;1.636870942
SeriesA;10;205;1.478738133
SeriesB;10;205;1.636870942
SeriesA;10;206;1.49179193
SeriesB;10;206;1.632913961
SeriesA;10;207;1.460838608
SeriesB;10;207;1.635957792
SeriesA;10;208;1.399165373
SeriesB;10;208;1.632913961
SeriesA;10;209;1.347243789
SeriesB;10;209;1.632913961
SeriesA;10;210;1.398983896
SeriesB;10;210;1.635957792
SeriesA;10;211;1.44
SeriesB;10;211;1.634537338
SeriesA;10;212;1.426401091
SeriesB;10;212;1.634537338
SeriesA;10;213;1.43128882
SeriesB;10;213;1.639093137
SeriesA;10;214;1.436432453
SeriesB;10;214;1.642156863
SeriesA;10;215;1.44
SeriesB;10;215;1.641237745
SeriesA;10;216;1.442511792
SeriesB;10;216;1.640931373
SeriesA;10;217;1.446400316
SeriesB;10;217;1.608128039
SeriesA;10;218;1.446400316
SeriesB;10;218;1.601593543
SeriesA;10;219;1.432142857
